frequency(Hz) ASD(Hz^-0.5)
1.487500000000000000e+01 1.038534146265511406e-20
1.500000000000000000e+01 9.268109121279686890e-21
1.512500000000000000e+01 8.051644789823199745e-21
1.525000000000000000e+01 6.523475306777942700e-21
1.537500000000000000e+01 5.463518512468780495e-21
1.550000000000000000e+01 4.915780380583148906e-21
1.562500000000000000e+01 4.480750483562777974e-21
1.575000000000000000e+01 4.071048491140382143e-21
1.587500000000000000e+01 3.711429070408524169e-21
1.600000000000000000e+01 3.394357638930509292e-21
1.612500000000000000e+01 3.142225153037505128e-21
1.625000000000000000e+01 2.837600076358309516e-21
1.637500000000000000e+01 2.526304674130712137e-21
1.650000000000000000e+01 2.291921908680698614e-21
1.662500000000000000e+01 2.104361856534530765e-21
1.675000000000000000e+01 1.895750198450224168e-21
1.687500000000000000e+01 1.682401186092062110e-21
1.700000000000000000e+01 1.453062506179623590e-21
1.712500000000000000e+01 1.264164299534041092e-21
1.725000000000000000e+01 1.110958531771771226e-21
1.737500000000000000e+01 9.854762300121741453e-22
1.750000000000000000e+01 8.839322643685670231e-22
1.762500000000000000e+01 7.920713538442798309e-22
1.775000000000000000e+01 7.153842397027734358e-22
1.787500000000000000e+01 6.492710371777677855e-22
1.800000000000000000e+01 6.011843603443562013e-22
1.812500000000000000e+01 5.601858015857435899e-22
1.825000000000000000e+01 5.213514365616605390e-22
1.837500000000000000e+01 4.798689656481559674e-22
1.850000000000000000e+01 4.421821983963956264e-22
1.862500000000000000e+01 4.153227675579297947e-22
1.875000000000000000e+01 3.972355241408091031e-22
1.887500000000000000e+01 3.834417832887648409e-22
1.900000000000000000e+01 3.751229923833407218e-22
1.912500000000000000e+01 3.674227246137516058e-22
1.925000000000000000e+01 3.600636458667434187e-22
1.937500000000000000e+01 3.550260891890822310e-22
1.950000000000000000e+01 3.582616947303214218e-22
1.962500000000000000e+01 3.652600267270278244e-22
1.975000000000000000e+01 3.549658604909684149e-22
1.987500000000000000e+01 3.221759423918337004e-22
2.000000000000000000e+01 2.902371960190129237e-22
2.012500000000000000e+01 2.742717405994984666e-22
2.025000000000000000e+01 2.623462249581602318e-22
2.037500000000000000e+01 2.506340809213544337e-22
2.050000000000000000e+01 2.444552430084412547e-22
2.062500000000000000e+01 2.378177459276410300e-22
2.075000000000000000e+01 2.380808610693769586e-22
2.087500000000000000e+01 2.401053448185584341e-22
2.100000000000000000e+01 2.399664944348151421e-22
2.112500000000000000e+01 2.396716524435510615e-22
2.125000000000000000e+01 2.334739264324499758e-22
2.137500000000000000e+01 2.219143127731933948e-22
2.150000000000000000e+01 2.061234521719017102e-22
2.162500000000000000e+01 1.876938878250252420e-22
2.175000000000000000e+01 1.786666963606003115e-22
2.187500000000000000e+01 1.722915598813328916e-22
2.200000000000000000e+01 1.680356463375619237e-22
2.212500000000000000e+01 1.631463772404898408e-22
2.225000000000000000e+01 1.574783967959938518e-22
2.237500000000000000e+01 1.498801465949498426e-22
2.250000000000000000e+01 1.434670184074621619e-22
2.262500000000000000e+01 1.408266474719088666e-22
2.275000000000000000e+01 1.369326457303430753e-22
2.287500000000000000e+01 1.300709952375251837e-22
2.300000000000000000e+01 1.265230058467746795e-22
2.312500000000000000e+01 1.294074322145443829e-22
2.325000000000000000e+01 1.380143196046225462e-22
2.337500000000000000e+01 1.388788205514966955e-22
2.350000000000000000e+01 1.300991942916768832e-22
2.362500000000000000e+01 1.225858928718243136e-22
2.375000000000000000e+01 1.173908508676919984e-22
2.387500000000000000e+01 1.140885882213382955e-22
2.400000000000000000e+01 1.116251910429879287e-22
2.412500000000000000e+01 1.106272950555059585e-22
2.425000000000000000e+01 1.085015803497877680e-22
2.437500000000000000e+01 1.061696250094523343e-22
2.450000000000000000e+01 1.040870917582065879e-22
2.462500000000000000e+01 1.043290668204781599e-22
2.475000000000000000e+01 1.050695935505829002e-22
2.487500000000000000e+01 1.044127006517834777e-22
2.500000000000000000e+01 1.056619860638320615e-22
2.512500000000000000e+01 1.177797631155290778e-22
2.525000000000000000e+01 1.273347750432817078e-22
2.537500000000000000e+01 1.198767384931596386e-22
2.550000000000000000e+01 9.944039959597511200e-23
2.562500000000000000e+01 8.725717756044763416e-23
2.575000000000000000e+01 8.215226426488339386e-23
2.587500000000000000e+01 7.737528622419280697e-23
2.600000000000000000e+01 7.584825209810203111e-23
2.612500000000000000e+01 7.485075513917182700e-23
2.625000000000000000e+01 7.535900318113768905e-23
2.637500000000000000e+01 7.271259390160297492e-23
2.650000000000000000e+01 7.056188899517822904e-23
2.662500000000000000e+01 7.086815607037046768e-23
2.675000000000000000e+01 6.904519103927823240e-23
2.687500000000000000e+01 6.664947158693719100e-23
2.700000000000000000e+01 6.835738425195966687e-23
2.712500000000000000e+01 7.255103534626435795e-23
2.725000000000000000e+01 7.669870926321303567e-23
2.737500000000000000e+01 7.605046007819467833e-23
2.750000000000000000e+01 7.387853099080909525e-23
2.762500000000000000e+01 7.096549408630396944e-23
2.775000000000000000e+01 6.829042061275089692e-23
2.787500000000000000e+01 6.595195657860460053e-23
2.800000000000000000e+01 6.419463773465614425e-23
2.812500000000000000e+01 6.251771814403186768e-23
2.825000000000000000e+01 6.246867910187141068e-23
2.837500000000000000e+01 6.070373873782036687e-23
2.850000000000000000e+01 5.928525501193688169e-23
2.862500000000000000e+01 5.854204982131872972e-23
2.875000000000000000e+01 5.685805930854467559e-23
2.887500000000000000e+01 5.593187580835820401e-23
2.900000000000000000e+01 6.044791096647897927e-23
2.912500000000000000e+01 6.837764596071269762e-23
2.925000000000000000e+01 6.912834380008070497e-23
2.937500000000000000e+01 6.301973550539835384e-23
2.950000000000000000e+01 6.053436962959750505e-23
2.962500000000000000e+01 6.937392793393565802e-23
2.975000000000000000e+01 9.056880917010368984e-23
2.987500000000000000e+01 9.895401492651582639e-23
3.000000000000000000e+01 8.317758332571858342e-23
3.012500000000000000e+01 6.211810052850487100e-23
3.025000000000000000e+01 5.485834909958391518e-23
3.037500000000000000e+01 5.154414149932459776e-23
3.050000000000000000e+01 4.992371666057227628e-23
3.062500000000000000e+01 4.881180404266844726e-23
3.075000000000000000e+01 4.676331014543331642e-23
3.087500000000000000e+01 4.657213173759299816e-23
3.100000000000000000e+01 5.065894570461605519e-23
3.112500000000000000e+01 5.550016954410312034e-23
3.125000000000000000e+01 5.368612025373462610e-23
3.137500000000000000e+01 4.824414358738112375e-23
3.150000000000000000e+01 4.476572152541371833e-23
3.162500000000000000e+01 4.263029614422682888e-23
3.175000000000000000e+01 3.950193057922784265e-23
3.187500000000000000e+01 3.704258098078261978e-23
3.200000000000000000e+01 3.612363930946030015e-23
3.212500000000000000e+01 3.656515882826162909e-23
3.225000000000000000e+01 3.716022055027748216e-23
3.237500000000000000e+01 3.635254418129442482e-23
3.250000000000000000e+01 3.562242380147875121e-23
3.262500000000000000e+01 3.503262175674779206e-23
3.275000000000000000e+01 3.402617556500272529e-23
3.287500000000000000e+01 3.605756128129479656e-23
3.300000000000000000e+01 4.196448603451128793e-23
3.312500000000000000e+01 4.486404197241871217e-23
3.325000000000000000e+01 4.167638590433136698e-23
3.337500000000000000e+01 3.936048649295980870e-23
3.350000000000000000e+01 4.523970865695412563e-23
3.362500000000000000e+01 5.586242983815888861e-23
3.375000000000000000e+01 5.644010312485353458e-23
3.387500000000000000e+01 4.454909806530351937e-23
3.400000000000000000e+01 3.425824770015403032e-23
3.412500000000000000e+01 3.628752775146794398e-23
3.425000000000000000e+01 1.463760766378728215e-22
3.437500000000000000e+01 5.437343093375006821e-22
3.450000000000000000e+01 1.284534550083111169e-21
3.462500000000000000e+01 1.991724335289521911e-21
3.475000000000000000e+01 2.072150382982120590e-21
3.487500000000000000e+01 1.471874994215207004e-21
3.500000000000000000e+01 9.255793689052605394e-22
3.512500000000000000e+01 1.311946459688018495e-21
3.525000000000000000e+01 1.852410652868753321e-21
3.537500000000000000e+01 1.780863241041745946e-21
3.550000000000000000e+01 1.148132872503100406e-21
3.562500000000000000e+01 4.860479860216510267e-22
3.575000000000000000e+01 1.315094312946368617e-22
3.587500000000000000e+01 3.528367589593378381e-23
3.600000000000000000e+01 2.841719562730127345e-23
3.612500000000000000e+01 2.803632266387233268e-23
3.625000000000000000e+01 2.846482953656899642e-23
3.637500000000000000e+01 2.862507797309365327e-23
3.650000000000000000e+01 2.873075002965748514e-23
3.662500000000000000e+01 2.819827558706494773e-23
3.675000000000000000e+01 2.853305461698106485e-23
3.687500000000000000e+01 3.110556117150194110e-23
3.700000000000000000e+01 3.327592556555394422e-23
3.712500000000000000e+01 3.124847665755028846e-23
3.725000000000000000e+01 2.860210694352324322e-23
3.737500000000000000e+01 2.764765280327844291e-23
3.750000000000000000e+01 2.737067496918850226e-23
3.762500000000000000e+01 2.643492771416633823e-23
3.775000000000000000e+01 2.550358728643209067e-23
3.787500000000000000e+01 2.519825412469095023e-23
3.800000000000000000e+01 2.521422567894258660e-23
3.812500000000000000e+01 2.577361368168871207e-23
3.825000000000000000e+01 2.633363173050445893e-23
3.837500000000000000e+01 2.687214453405603305e-23
3.850000000000000000e+01 2.683162512365632954e-23
3.862500000000000000e+01 2.653984376836062983e-23
3.875000000000000000e+01 2.748488040466988075e-23
3.887500000000000000e+01 3.001935435176632670e-23
3.900000000000000000e+01 3.027331893923946142e-23
3.912500000000000000e+01 2.764702934109927777e-23
3.925000000000000000e+01 2.614996363430823409e-23
3.937500000000000000e+01 2.585249639475709033e-23
3.950000000000000000e+01 2.574640012459441648e-23
3.962500000000000000e+01 2.492801288303419789e-23
3.975000000000000000e+01 2.421669328146311202e-23
3.987500000000000000e+01 2.402716839125408415e-23
4.000000000000000000e+01 2.400842487510460088e-23
4.012500000000000000e+01 2.452785702628583768e-23
4.025000000000000000e+01 2.479606426053555382e-23
4.037500000000000000e+01 2.478667336568274924e-23
4.050000000000000000e+01 2.453481826080014434e-23
4.062500000000000000e+01 2.484567294372929726e-23
4.075000000000000000e+01 2.608292446372556556e-23
4.087500000000000000e+01 2.731401678184254589e-23
4.100000000000000000e+01 2.632380031861337705e-23
4.112500000000000000e+01 2.445967873020317207e-23
4.125000000000000000e+01 2.402470330451227277e-23
4.137500000000000000e+01 2.397697364243923159e-23
4.150000000000000000e+01 2.350469754943921471e-23
4.162500000000000000e+01 2.258054014982501341e-23
4.175000000000000000e+01 2.191136180820421980e-23
4.187500000000000000e+01 2.153581900053112344e-23
4.200000000000000000e+01 2.135996664042664245e-23
4.212500000000000000e+01 2.142626890333156094e-23
4.225000000000000000e+01 2.178531486637626001e-23
4.237500000000000000e+01 2.207267171989876966e-23
4.250000000000000000e+01 2.205402522582411425e-23
4.262500000000000000e+01 2.238306335429589974e-23
4.275000000000000000e+01 2.367679966834894552e-23
4.287500000000000000e+01 2.419922662504463547e-23
4.300000000000000000e+01 2.245293685720346387e-23
4.312500000000000000e+01 2.122006780035942669e-23
4.325000000000000000e+01 2.113941460799476748e-23
4.337500000000000000e+01 2.131230253096968549e-23
4.350000000000000000e+01 2.103528376082390086e-23
4.362500000000000000e+01 2.048012711212036831e-23
4.375000000000000000e+01 2.000987516367893808e-23
4.387500000000000000e+01 1.969314910798003420e-23
4.400000000000000000e+01 1.955704537854739343e-23
4.412500000000000000e+01 1.973438621509298452e-23
4.425000000000000000e+01 2.033274939189068944e-23
4.437500000000000000e+01 2.106915915274828536e-23
4.450000000000000000e+01 2.160923134071949439e-23
4.462500000000000000e+01 2.201384889364187865e-23
4.475000000000000000e+01 2.207838717972173155e-23
4.487500000000000000e+01 2.122017460472696080e-23
4.500000000000000000e+01 1.970046843294437383e-23
4.512500000000000000e+01 1.905986970516085127e-23
4.525000000000000000e+01 1.916498464385156088e-23
4.537500000000000000e+01 1.917644195853545055e-23
4.550000000000000000e+01 1.864947512478750966e-23
4.562500000000000000e+01 1.770853803460207571e-23
4.575000000000000000e+01 1.702848147075629667e-23
4.587500000000000000e+01 1.678952973959786173e-23
4.600000000000000000e+01 1.666752559450458443e-23
4.612500000000000000e+01 1.678678352454274805e-23
4.625000000000000000e+01 1.712163508147359213e-23
4.637500000000000000e+01 1.742301196801983012e-23
4.650000000000000000e+01 1.771003536938489560e-23
4.662500000000000000e+01 1.843510922140310627e-23
4.675000000000000000e+01 1.888891879294316459e-23
4.687500000000000000e+01 1.776837890346109923e-23
4.700000000000000000e+01 1.667436710389809027e-23
4.712500000000000000e+01 1.638856452600671516e-23
4.725000000000000000e+01 1.654750817327322583e-23
4.737500000000000000e+01 1.669490567879627714e-23
4.750000000000000000e+01 1.634852017699682078e-23
4.762500000000000000e+01 1.575488001552020773e-23
4.775000000000000000e+01 1.540040902614524837e-23
4.787500000000000000e+01 1.526618885367972166e-23
4.800000000000000000e+01 1.535203002259679557e-23
4.812500000000000000e+01 1.612268971092854959e-23
4.825000000000000000e+01 1.729464007348139440e-23
4.837500000000000000e+01 1.742882167603383757e-23
4.850000000000000000e+01 1.706744127586588150e-23
4.862500000000000000e+01 1.733443000702119446e-23
4.875000000000000000e+01 1.718699223167584236e-23
4.887500000000000000e+01 1.601550194276637376e-23
4.900000000000000000e+01 1.543862485994955890e-23
4.912500000000000000e+01 1.554796471161688487e-23
4.925000000000000000e+01 1.587608433190550136e-23
4.937500000000000000e+01 1.609333022044505296e-23
4.950000000000000000e+01 1.600313660584263119e-23
4.962500000000000000e+01 1.589132852795496115e-23
4.975000000000000000e+01 1.591486966275272515e-23
4.987500000000000000e+01 1.575623719596023124e-23
5.000000000000000000e+01 1.556106187836519740e-23
5.012500000000000000e+01 1.557025963594990701e-23
5.025000000000000000e+01 1.575577092501187538e-23
5.037500000000000000e+01 1.585830926561099270e-23
5.050000000000000000e+01 1.607488531764917203e-23
5.062500000000000000e+01 1.625908956980679697e-23
5.075000000000000000e+01 1.555325973121198964e-23
5.087500000000000000e+01 1.465652408807467921e-23
5.100000000000000000e+01 1.446296957058544146e-23
5.112500000000000000e+01 1.490514410937308895e-23
5.125000000000000000e+01 1.515397253935876246e-23
5.137500000000000000e+01 1.489303537564122522e-23
5.150000000000000000e+01 1.455363507974771068e-23
5.162500000000000000e+01 1.416877316852923201e-23
5.175000000000000000e+01 1.408348314116631796e-23
5.187500000000000000e+01 1.402522129630221934e-23
5.200000000000000000e+01 1.402764280997142586e-23
5.212500000000000000e+01 1.424841727827430965e-23
5.225000000000000000e+01 1.462030059745250752e-23
5.237500000000000000e+01 1.503089000467428058e-23
5.250000000000000000e+01 1.546067282896206770e-23
5.262500000000000000e+01 1.556139657474239305e-23
5.275000000000000000e+01 1.505787653746235066e-23
5.287500000000000000e+01 1.476568184019785984e-23
5.300000000000000000e+01 1.477415939834365189e-23
5.312500000000000000e+01 1.489050943466990329e-23
5.325000000000000000e+01 1.512519760109776820e-23
5.337500000000000000e+01 1.533918854549397153e-23
5.350000000000000000e+01 1.531225014108357846e-23
5.362500000000000000e+01 1.523469518652229609e-23
5.375000000000000000e+01 1.523437618928229446e-23
5.387500000000000000e+01 1.538649134809634626e-23
5.400000000000000000e+01 1.562306993380695484e-23
5.412500000000000000e+01 1.591104367044306342e-23
5.425000000000000000e+01 1.639000518750243675e-23
5.437500000000000000e+01 1.675996755471617131e-23
5.450000000000000000e+01 1.718441258648411560e-23
5.462500000000000000e+01 1.702445101650200775e-23
5.475000000000000000e+01 1.666892934208593055e-23
5.487500000000000000e+01 1.635147677076712258e-23
5.500000000000000000e+01 1.626994218330683185e-23
5.512500000000000000e+01 1.636928466219844650e-23
5.525000000000000000e+01 1.643049232568170648e-23
5.537500000000000000e+01 1.624268081460662434e-23
5.550000000000000000e+01 1.591641651544648902e-23
5.562500000000000000e+01 1.573739152892269718e-23
5.575000000000000000e+01 1.550435081543537576e-23
5.587500000000000000e+01 1.534802230084752592e-23
5.600000000000000000e+01 1.530564422831802434e-23
5.612500000000000000e+01 1.526475770841256138e-23
5.625000000000000000e+01 1.545608909251082103e-23
5.637500000000000000e+01 1.589933373468417702e-23
5.650000000000000000e+01 1.611637058134001701e-23
5.662500000000000000e+01 1.583028929487127670e-23
5.675000000000000000e+01 1.560763150649595466e-23
5.687500000000000000e+01 1.568432043112019517e-23
5.700000000000000000e+01 1.587269835213624196e-23
5.712500000000000000e+01 1.620293146958394015e-23
5.725000000000000000e+01 1.659752788762907029e-23
5.737500000000000000e+01 1.699155003637074752e-23
5.750000000000000000e+01 1.717795731978675433e-23
5.762500000000000000e+01 1.737914682591554340e-23
5.775000000000000000e+01 1.751663793554594120e-23
5.787500000000000000e+01 1.769243769889839549e-23
5.800000000000000000e+01 1.793744523977189210e-23
5.812500000000000000e+01 1.832427029936680488e-23
5.825000000000000000e+01 1.904085647760693510e-23
5.837500000000000000e+01 1.986239700253196377e-23
5.850000000000000000e+01 2.013508255750521027e-23
5.862500000000000000e+01 2.026739265038231971e-23
5.875000000000000000e+01 2.070785582330672133e-23
5.887500000000000000e+01 2.048742141551895640e-23
5.900000000000000000e+01 1.955921083007620334e-23
5.912500000000000000e+01 1.888678971542011054e-23
5.925000000000000000e+01 1.886248441462998581e-23
5.937500000000000000e+01 1.963952733281714009e-23
5.950000000000000000e+01 2.851501954316979128e-23
5.962500000000000000e+01 9.399166619104048242e-23
5.975000000000000000e+01 2.588783737584302686e-22
5.987500000000000000e+01 4.711688310361749533e-22
6.000000000000000000e+01 5.766831147020111246e-22
6.012500000000000000e+01 4.747360663064139167e-22
6.025000000000000000e+01 2.624338494329422817e-22
6.037500000000000000e+01 9.666243779040824897e-23
6.050000000000000000e+01 2.847373727327260369e-23
6.062500000000000000e+01 1.749417130405263128e-23
6.075000000000000000e+01 1.641912014035042511e-23
6.087500000000000000e+01 1.614670835869783277e-23
6.100000000000000000e+01 1.635299100824088130e-23
6.112500000000000000e+01 1.691868204361551593e-23
6.125000000000000000e+01 1.693546207951116566e-23
6.137500000000000000e+01 1.619868064299536444e-23
6.150000000000000000e+01 1.538072099723928814e-23
6.162500000000000000e+01 1.499913801512937606e-23
6.175000000000000000e+01 1.476596729036747021e-23
6.187500000000000000e+01 1.467014266739529886e-23
6.200000000000000000e+01 1.476488346366516069e-23
6.212500000000000000e+01 1.488716269490665368e-23
6.225000000000000000e+01 1.506782489278631763e-23
6.237500000000000000e+01 1.512737179411200951e-23
6.250000000000000000e+01 1.496410553006359914e-23
6.262500000000000000e+01 1.483640871166739965e-23
6.275000000000000000e+01 1.482373109377715407e-23
6.287500000000000000e+01 1.484432974261872793e-23
6.300000000000000000e+01 1.493176144621657108e-23
6.312500000000000000e+01 1.510202911175126693e-23
6.325000000000000000e+01 1.524064731535751012e-23
6.337500000000000000e+01 1.537124061881287520e-23
6.350000000000000000e+01 1.577518511193287419e-23
6.362500000000000000e+01 1.608788409442909757e-23
6.375000000000000000e+01 1.640279793974114565e-23
6.387500000000000000e+01 1.657574763935753414e-23
6.400000000000000000e+01 1.677916648391058619e-23
6.412500000000000000e+01 1.705876341227482718e-23
6.425000000000000000e+01 1.729993123490655378e-23
6.437500000000000000e+01 1.743421184322461991e-23
6.450000000000000000e+01 1.765142278481102022e-23
6.462500000000000000e+01 1.772380724432005445e-23
6.475000000000000000e+01 1.771343388643214446e-23
6.487500000000000000e+01 1.762188494838911033e-23
6.500000000000000000e+01 1.755476175030173232e-23
6.512500000000000000e+01 1.771539596623531018e-23
6.525000000000000000e+01 1.769098727699167744e-23
6.537500000000000000e+01 1.778791318675589132e-23
6.550000000000000000e+01 1.782175886480282312e-23
6.562500000000000000e+01 1.800714174642440787e-23
6.575000000000000000e+01 1.799586277323628280e-23
6.587500000000000000e+01 1.789139648451245579e-23
6.600000000000000000e+01 1.780094987568162017e-23
6.612500000000000000e+01 1.775137962570539351e-23
6.625000000000000000e+01 1.768840456093602829e-23
6.637500000000000000e+01 1.744699802356665302e-23
6.650000000000000000e+01 1.728652250591324948e-23
6.662500000000000000e+01 1.722904955765131706e-23
6.675000000000000000e+01 1.699991217539770193e-23
6.687500000000000000e+01 1.683069486182283902e-23
6.700000000000000000e+01 1.661880636222937278e-23
6.712500000000000000e+01 1.658818259577942575e-23
6.725000000000000000e+01 1.649958072775403083e-23
6.737500000000000000e+01 1.641544911813949099e-23
6.750000000000000000e+01 1.645505008113737948e-23
6.762500000000000000e+01 1.647155396225466001e-23
6.775000000000000000e+01 1.648387737203161830e-23
6.787500000000000000e+01 1.643159923541292836e-23
6.800000000000000000e+01 1.640485417816482092e-23
6.812500000000000000e+01 1.641431707255507050e-23
6.825000000000000000e+01 1.644884320576266539e-23
6.837500000000000000e+01 1.635713026553909522e-23
6.850000000000000000e+01 1.639139390273111268e-23
6.862500000000000000e+01 1.633392540223296742e-23
6.875000000000000000e+01 1.628969297779232315e-23
6.887500000000000000e+01 1.620314416615120840e-23
6.900000000000000000e+01 1.603614723259490975e-23
6.912500000000000000e+01 1.594130385128642289e-23
6.925000000000000000e+01 1.581726088044422516e-23
6.937500000000000000e+01 1.580756747858925812e-23
6.950000000000000000e+01 1.568678804102469866e-23
6.962500000000000000e+01 1.558068020845621577e-23
6.975000000000000000e+01 1.551816463062297301e-23
6.987500000000000000e+01 1.536396894776128965e-23
7.000000000000000000e+01 1.531628243937367117e-23
7.012500000000000000e+01 1.513482502546259331e-23
7.025000000000000000e+01 1.494422140100354688e-23
7.037500000000000000e+01 1.488532216919511566e-23
7.050000000000000000e+01 1.477667573092533087e-23
7.062500000000000000e+01 1.470768495868654626e-23
7.075000000000000000e+01 1.477392486267145662e-23
7.087500000000000000e+01 1.510681744882394744e-23
7.100000000000000000e+01 1.556480817167749585e-23
7.112500000000000000e+01 1.566889869462166168e-23
7.125000000000000000e+01 1.553365787583773584e-23
7.137500000000000000e+01 1.491259344352560164e-23
7.150000000000000000e+01 1.440106520836317782e-23
7.162500000000000000e+01 1.411278320952213879e-23
7.175000000000000000e+01 1.400942354738649902e-23
7.187500000000000000e+01 1.399273413592594723e-23
7.200000000000000000e+01 1.391055808590049010e-23
7.212500000000000000e+01 1.375638085856126247e-23
7.225000000000000000e+01 1.366094611385303838e-23
7.237500000000000000e+01 1.353166475366006904e-23
7.250000000000000000e+01 1.338497253403818158e-23
7.262500000000000000e+01 1.333389819107088931e-23
