time(s)  strain
-8.439453125 -3.630054e-24
-8.439208984 -3.662667e-24
-8.438964843 -3.69181e-24
-8.438720703 -3.717403e-24
-8.438476562 -3.739325e-24
-8.438232422 -3.757498e-24
-8.437988281 -3.771813e-24
-8.43774414 -3.7822e-24
-8.4375 -3.788559e-24
-8.437255859 -3.790831e-24
-8.437011718 -3.788929e-24
-8.436767578 -3.782798e-24
-8.436523437 -3.7723686e-24
-8.436279297 -3.757592e-24
-8.436035156 -3.7384144e-24
-8.435791015 -3.714795e-24
-8.435546875 -3.6866959e-24
-8.435302734 -3.6540854e-24
-8.435058593 -3.6169422e-24
-8.434814453 -3.5752423e-24
-8.434570312 -3.5289831e-24
-8.434326172 -3.4781477e-24
-8.434082031 -3.4227521e-24
-8.43383789 -3.36278866e-24
-8.43359375 -3.298291814e-24
-8.433349609 -3.22926068e-24
-8.433105468 -3.1557497e-24
-8.432861328 -3.0777671e-24
-8.432617187 -2.995385e-24
-8.432373047 -2.9086219e-24
-8.432128906 -2.8175673e-24
-8.431884765 -2.7222481e-24
-8.431640625 -2.6227717e-24
-8.431396484 -2.5191736e-24
-8.431152343 -2.411582e-24
-8.430908203 -2.300037e-24
-8.430664062 -2.184686e-24
-8.430419922 -2.065579e-24
-8.430175781 -1.942877e-24
-8.42993164 -1.816638e-24
-8.4296875 -1.687042e-24
-8.429443359 -1.554154e-24
-8.429199218 -1.418167e-24
-8.428955078 -1.279154e-24
-8.428710937 -1.137324e-24
-8.428466797 -9.92755e-25
-8.428222656 -8.4567e-25
-8.427978515 -6.96153e-25
-8.427734375 -5.44439e-25
-8.427490234 -3.90618e-25
-8.427246093 -2.34938e-25
-8.427001953 -7.7488e-26
-8.426757812 8.1468e-26
-8.426513672 2.41838e-25
-8.426269531 4.03353e-25
-8.42602539 5.65914e-25
-8.42578125 7.29245e-25
-8.425537109 8.93247e-25
-8.425292968 1.057636e-24
-8.425048828 1.222312e-24
-8.424804687 1.386985e-24
-8.424560547 1.551557e-24
-8.424316406 1.715732e-24
-8.424072265 1.879414e-24
-8.423828125 2.042306e-24
-8.423583984 2.204312e-24
-8.423339843 2.365133e-24
-8.423095703 2.524677e-24
-8.422851562 2.682647e-24
-8.422607422 2.838954e-24
-8.422363281 2.993301e-24
-8.42211914 3.1456053e-24
-8.421875 3.2955741e-24
-8.421630859 3.443129e-24
-8.421386718 3.5879805e-24
-8.421142578 3.73006e-24
-8.420898437 3.869082e-24
-8.420654297 4.0049858e-24
-8.420410156 4.1374934e-24
-8.420166015 4.2665513397e-24
-8.419921875 4.3918929e-24
-8.419677734 4.5134707e-24
-8.419433593 4.6310303e-24
-8.419189453 4.7445313e-24
-8.418945312 4.8537325e-24
-8.418701172 4.9586038e-24
-8.418457031 5.0589155e-24
-8.41821289 5.1549517e-24
-8.41796875 5.246819e-24
-8.417724609 5.334541e-24
-8.417480468 5.417941e-24
-8.417236328 5.497047e-24
-8.416992187 5.571693e-24
-8.416748047 5.641911e-24
-8.416503906 5.707545e-24
-8.416259765 5.768629e-24
-8.416015625 5.82502e-24
-8.415771484 5.876756e-24
-8.415527343 5.923704e-24
-8.415283203 5.965906e-24
-8.415039062 6.00324e-24
-8.414794922 6.035754e-24
-8.414550781 6.063338e-24
-8.41430664 6.086041e-24
-8.4140625 6.103766e-24
-8.413818359 6.116566e-24
-8.413574218 6.124357e-24
-8.413330078 6.127197e-24
-8.413085937 6.125011e-24
-8.412841797 6.117862e-24
-8.412597656 6.105691e-24
-8.412353515 6.088561e-24
-8.412109375 6.066425e-24
-8.411865234 6.03935e-24
-8.411621093 6.007305e-24
-8.411376953 5.970359e-24
-8.411132812 5.928492e-24
-8.410888672 5.881776e-24
-8.410644531 5.830207e-24
-8.41040039 5.773858e-24
-8.41015625 5.712737e-24
-8.409912109 5.646921e-24
-8.409667968 5.576432e-24
-8.409423828 5.501349e-24
-8.409179687 5.421705e-24
-8.408935547 5.337583e-24
-8.408691406 5.2490279e-24
-8.408447265 5.1561246e-24
-8.408203125 5.0589335e-24
-8.407958984 4.9575374e-24
-8.407714843 4.8520114e-24
-8.407470703 4.7424388e-24
-8.407226562 4.6289068e-24
-8.406982422 4.5115015e-24
-8.406738281 4.390320995e-24
-8.40649414 4.2654508e-24
-8.40625 4.1370047e-24
-8.406005859 4.0050653e-24
-8.405761718 3.8697576e-24
-8.405517578 3.7311669e-24
-8.405273437 3.5894285e-24
-8.405029297 3.4446266e-24
-8.404785156 3.2969087e-24
-8.404541015 3.146358e-24
-8.404296875 2.993132e-24
-8.404052734 2.837312e-24
-8.403808593 2.679067e-24
-8.403564453 2.518479e-24
-8.403320312 2.355724e-24
-8.403076172 2.190882e-24
-8.402832031 2.024138e-24
-8.40258789 1.855572e-24
-8.40234375 1.685378e-24
-8.402099609 1.513632e-24
-8.401855468 1.340535e-24
-8.401611328 1.166164e-24
-8.401367187 9.90725e-25
-8.401123047 8.14292e-25
-8.400878906 6.37078e-25
-8.400634765 4.59154e-25
-8.400390625 2.80741e-25
-8.400146484 1.01904e-25
-8.399902343 -7.7129e-26
-8.399658203 -2.56297e-25
-8.399414062 -4.35369e-25
-8.399169922 -6.14284e-25
-8.398925781 -7.9281e-25
-8.39868164 -9.7089e-25
-8.3984375 -1.148286e-24
-8.398193359 -1.324949e-24
-8.397949218 -1.500636e-24
-8.397705078 -1.675302e-24
-8.397460937 -1.848705e-24
-8.397216797 -2.020802e-24
-8.396972656 -2.191352e-24
-8.396728515 -2.360316e-24
-8.396484375 -2.52745e-24
-8.396240234 -2.692724e-24
-8.395996093 -2.855894e-24
-8.395751953 -3.016933e-24
-8.395507812 -3.175601e-24
-8.395263672 -3.331872e-24
-8.395019531 -3.4855116e-24
-8.39477539 -3.636499e-24
-8.39453125 -3.7846013e-24
-8.394287109 -3.9298028e-24
-8.394042968 -4.0718763e-24
-8.393798828 -4.2108102e-24
-8.393554687 -4.3463809e-24
-8.393310547 -4.47858425e-24
-8.393066406 -4.6071991e-24
-8.392822265 -4.7322286e-24
-8.392578125 -4.8534585e-24
-8.392333984 -4.9708948e-24
-8.392089843 -5.0843315e-24
-8.391845703 -5.1937793e-24
-8.391601562 -5.2990392e-24
-8.391357422 -5.400129e-24
-8.391113281 -5.496856e-24
-8.39086914 -5.589244e-24
-8.390625 -5.677108e-24
-8.390380859 -5.760478e-24
-8.390136718 -5.83918e-24
-8.389892578 -5.913246e-24
-8.389648437 -5.982511e-24
-8.389404297 -6.047017e-24
-8.389160156 -6.106606e-24
-8.388916015 -6.161323e-24
-8.388671875 -6.211026e-24
-8.388427734 -6.25576e-24
-8.388183593 -6.295397e-24
-8.387939453 -6.329987e-24
-8.387695312 -6.359412e-24
-8.387451172 -6.383728e-24
-8.387207031 -6.402829e-24
-8.38696289 -6.416775e-24
-8.38671875 -6.42547e-24
-8.386474609 -6.428983e-24
-8.386230468 -6.427228e-24
-8.385986328 -6.420279e-24
-8.385742187 -6.408062e-24
-8.385498047 -6.390655e-24
-8.385253906 -6.368001e-24
-8.385009765 -6.340175e-24
-8.384765625 -6.307136e-24
-8.384521484 -6.268967e-24
-8.384277343 -6.225635e-24
-8.384033203 -6.177228e-24
-8.383789062 -6.123728e-24
-8.383544922 -6.065222e-24
-8.383300781 -6.00171e-24
-8.38305664 -5.933282e-24
-8.3828125 -5.859948e-24
-8.382568359 -5.781802e-24
-8.382324218 -5.698868e-24
-8.382080078 -5.611244e-24
-8.381835937 -5.518964e-24
-8.381591797 -5.4221304e-24
-8.381347656 -5.3207902e-24
-8.381103515 -5.2150469e-24
-8.380859375 -5.1049612e-24
-8.380615234 -4.990637e-24
-8.380371093 -4.8721497e-24
-8.380126953 -4.7496037e-24
-8.379882812 -4.62308597e-24
-8.379638672 -4.4927027e-24
-8.379394531 -4.3585541e-24
-8.37915039 -4.2207438e-24
-8.37890625 -4.0793872e-24
-8.378662109 -3.9345888e-24
-8.378417968 -3.7864728e-24
-8.378173828 -3.6351441e-24
-8.377929687 -3.48074e-24
-8.377685547 -3.323362e-24
-8.377441406 -3.163161e-24
-8.377197265 -3.000239e-24
-8.376953125 -2.834753e-24
-8.376708984 -2.666805e-24
-8.376464843 -2.496564e-24
-8.376220703 -2.32413e-24
-8.375976562 -2.14968e-24
-8.375732422 -1.973313e-24
-8.375488281 -1.795216e-24
-8.37524414 -1.615483e-24
-8.375 -1.43431e-24
-8.374755859 -1.251792e-24
-8.374511718 -1.068129e-24
-8.374267578 -8.83414e-25
-8.374023437 -6.97855e-25
-8.373779297 -5.1154e-25
-8.373535156 -3.24685e-25
-8.373291015 -1.37374e-25
-8.373046875 5.0171e-26
-8.372802734 2.37869e-25
-8.372558593 4.25496e-25
-8.372314453 6.12973e-25
-8.372070312 8.0007e-25
-8.371826172 9.86714e-25
-8.371582031 1.172672e-24
-8.37133789 1.357876e-24
-8.37109375 1.542089e-24
-8.370849609 1.725248e-24
-8.370605468 1.907112e-24
-8.370361328 2.087625e-24
-8.370117187 2.266547e-24
-8.369873047 2.443823e-24
-8.369628906 2.619215e-24
-8.369384765 2.792674e-24
-8.369140625 2.963958e-24
-8.368896484 3.133027e-24
-8.368652343 3.299642e-24
-8.368408203 3.463765e-24
-8.368164062 3.6251599e-24
-8.367919922 3.7837959e-24
-8.367675781 3.9394368e-24
-8.36743164 4.0920587e-24
-8.3671875 4.2414311e-24
-8.366943359 4.3875346e-24
-8.366699218 4.5301402e-24
-8.366455078 4.66923913e-24
-8.366210937 4.80460516e-24
-8.365966797 4.9362344e-24
-8.365722656 5.0639081e-24
-8.365478515 5.1876285e-24
-8.365234375 5.3071826e-24
-8.364990234 5.4225778e-24
-8.364746093 5.5336099e-24
-8.364501953 5.640292e-24
-8.364257812 5.742426e-24
-8.364013672 5.840034e-24
-8.363769531 5.932925e-24
-8.36352539 6.021124e-24
-8.36328125 6.104454e-24
-8.363037109 6.182946e-24
-8.362792968 6.256426e-24
-8.362548828 6.324938e-24
-8.362304687 6.388316e-24
-8.362060547 6.446608e-24
-8.361816406 6.499661e-24
-8.361572265 6.547527e-24
-8.361328125 6.590065e-24
-8.361083984 6.627333e-24
-8.360839843 6.6592e-24
-8.360595703 6.685731e-24
-8.360351562 6.706807e-24
-8.360107422 6.722497e-24
-8.359863281 6.732694e-24
-8.35961914 6.737475e-24
-8.359375 6.736743e-24
-8.359130859 6.730582e-24
-8.358886718 6.718905e-24
-8.358642578 6.701803e-24
-8.358398437 6.679203e-24
-8.358154297 6.651196e-24
-8.357910156 6.617727e-24
-8.357666015 6.57889e-24
-8.357421875 6.534643e-24
-8.357177734 6.485085e-24
-8.356933593 6.430186e-24
-8.356689453 6.370049e-24
-8.356445312 6.30466e-24
-8.356201172 6.234123e-24
-8.355957031 6.158437e-24
-8.35571289 6.077712e-24
-8.35546875 5.991959e-24
-8.355224609 5.901293e-24
-8.354980468 5.805735e-24
-8.354736328 5.705405e-24
-8.354492187 5.6003364e-24
-8.354248047 5.4906514e-24
-8.354003906 5.3764003e-24
-8.353759765 5.2577013e-24
-8.353515625 5.1346216e-24
-8.353271484 5.0072813e-24
-8.353027343 4.87575854e-24
-8.352783203 4.74017505e-24
-8.352539062 4.6006228e-24
-8.352294922 4.4572243e-24
-8.352050781 4.3100823e-24
-8.35180664 4.1593208e-24
-8.3515625 4.005055e-24
-8.351318359 3.8474086e-24
-8.351074218 3.686508e-24
-8.350830078 3.522478e-24
-8.350585937 3.355455e-24
-8.350341797 3.185562e-24
-8.350097656 3.012948e-24
-8.349853515 2.837737e-24
-8.349609375 2.660084e-24
-8.349365234 2.480113e-24
-8.349121093 2.29799e-24
-8.348876953 2.113835e-24
-8.348632812 1.927827e-24
-8.348388672 1.740081e-24
-8.348144531 1.550784e-24
-8.34790039 1.360049e-24
-8.34765625 1.168073e-24
-8.347412109 9.74965e-25
-8.347167968 7.80929e-25
-8.346923828 5.86071e-25
-8.346679687 3.90601e-25
-8.346435547 1.94623e-25
-8.346191406 -1.648e-27
-8.345947265 -1.98112e-25
-8.345703125 -3.94548e-25
-8.345458984 -5.90862e-25
-8.345214843 -7.86825e-25
-8.344970703 -9.8235e-25
-8.344726562 -1.177205e-24
-8.344482422 -1.371305e-24
-8.344238281 -1.564417e-24
-8.34399414 -1.756459e-24
-8.34375 -1.947197e-24
-8.343505859 -2.136557e-24
-8.343261718 -2.324298e-24
-8.343017578 -2.510353e-24
-8.342773437 -2.694485e-24
-8.342529297 -2.876629e-24
-8.342285156 -3.056545e-24
-8.342041015 -3.23418e-24
-8.341796875 -3.409291e-24
-8.341552734 -3.581831e-24
-8.341308593 -3.751561e-24
-8.341064453 -3.9184394e-24
-8.340820312 -4.0822288e-24
-8.340576172 -4.2428938e-24
-8.340332031 -4.4002002e-24
-8.34008789 -4.5541213e-24
-8.33984375 -4.7044248e-24
-8.339599609 -4.85109003e-24
-8.339355468 -4.99389095e-24
-8.339111328 -5.1328142e-24
-8.338867187 -5.2676357e-24
-8.338623047 -5.3983524e-24
-8.338378906 -5.5247456e-24
-8.338134765 -5.6468181e-24
-8.337890625 -5.764358e-24
-8.337646484 -5.877377e-24
-8.337402343 -5.985669e-24
-8.337158203 -6.089251e-24
-8.336914062 -6.187927e-24
-8.336669922 -6.281722e-24
-8.336425781 -6.370447e-24
-8.33618164 -6.454134e-24
-8.3359375 -6.532604e-24
-8.335693359 -6.605895e-24
-8.335449218 -6.673838e-24
-8.335205078 -6.736479e-24
-8.334960937 -6.793658e-24
-8.334716797 -6.845427e-24
-8.334472656 -6.891637e-24
-8.334228515 -6.93235e-24
-8.333984375 -6.967424e-24
-8.333740234 -6.99693e-24
-8.333496093 -7.020737e-24
-8.333251953 -7.038921e-24
-8.333007812 -7.051364e-24
-8.332763672 -7.058149e-24
-8.332519531 -7.05917e-24
-8.33227539 -7.054515e-24
-8.33203125 -7.04409e-24
-8.331787109 -7.027992e-24
-8.331542968 -7.006139e-24
-8.331298828 -6.97863e-24
-8.331054687 -6.945399e-24
-8.330810547 -6.90655e-24
-8.330566406 -6.862031e-24
-8.330322265 -6.81195e-24
-8.330078125 -6.756267e-24
-8.329833984 -6.695098e-24
-8.329589843 -6.628414e-24
-8.329345703 -6.556336e-24
-8.329101562 -6.478851e-24
-8.328857422 -6.39608e-24
-8.328613281 -6.308025e-24
-8.32836914 -6.214812e-24
-8.328125 -6.116455e-24
-8.327880859 -6.013087e-24
-8.327636718 -5.9047303e-24
-8.327392578 -5.7915223e-24
-8.327148437 -5.6735018e-24
-8.326904297 -5.5508063e-24
-8.326660156 -5.4234878e-24
-8.326416015 -5.2916862e-24
-8.326171875 -5.1554662e-24
-8.325927734 -5.01497184e-24
-8.325683593 -4.8702783e-24
-8.325439453 -4.721531e-24
-8.325195312 -4.5688195e-24
-8.324951172 -4.4122871e-24
-8.324707031 -4.2520384e-24
-8.32446289 -4.0882171e-24
-8.32421875 -3.920939e-24
-8.323974609 -3.750347e-24
-8.323730468 -3.576569e-24
-8.323486328 -3.399748e-24
-8.323242187 -3.220022e-24
-8.322998047 -3.037535e-24
-8.322753906 -2.852434e-24
-8.322509765 -2.664864e-24
-8.322265625 -2.47498e-24
-8.322021484 -2.282923e-24
-8.321777343 -2.088863e-24
-8.321533203 -1.892937e-24
-8.321289062 -1.695323e-24
-8.321044922 -1.496156e-24
-8.320800781 -1.295621e-24
-8.32055664 -1.093853e-24
-8.3203125 -8.91043e-25
-8.320068359 -6.87322e-25
-8.319824218 -4.82891e-25
-8.319580078 -2.77876e-25
-8.319335937 -7.2482e-26
-8.319091797 1.33167e-25
-8.318847656 3.38858e-25
-8.318603515 5.44476e-25
-8.318359375 7.49799e-25
-8.318115234 9.54718e-25
-8.317871093 1.159008e-24
-8.317626953 1.362564e-24
-8.317382812 1.565157e-24
-8.317138672 1.766688e-24
-8.316894531 1.966925e-24
-8.31665039 2.165775e-24
-8.31640625 2.363004e-24
-8.316162109 2.558524e-24
-8.315917968 2.7521e-24
-8.315673828 2.943653e-24
-8.315429687 3.132943e-24
-8.315185547 3.3199e-24
-8.314941406 3.504285e-24
-8.314697265 3.686032e-24
-8.314453125 3.864906e-24
-8.314208984 4.040848e-24
-8.313964843 4.2136219e-24
-8.313720703 4.3831796e-24
-8.313476562 4.5492843e-24
-8.313232422 4.7118961e-24
-8.312988281 4.8707818e-24
-8.31274414 5.0259103e-24
-8.3125 5.177051736e-24
-8.312255859 5.3241818e-24
-8.312011718 5.467076e-24
-8.311767578 5.6057179e-24
-8.311523437 5.7398886e-24
-8.311279297 5.8695789e-24
-8.311035156 5.9945763e-24
-8.310791015 6.114882e-24
-8.310546875 6.230286e-24
-8.310302734 6.3408e-24
-8.310058593 6.446221e-24
-8.309814453 6.546569e-24
-8.309570312 6.641649e-24
-8.309326172 6.73149e-24
-8.309082031 6.815905e-24
-8.30883789 6.89493e-24
-8.30859375 6.968388e-24
-8.308349609 7.036323e-24
-8.308105468 7.098567e-24
-8.307861328 7.155173e-24
-8.307617187 7.205982e-24
-8.307373047 7.251059e-24
-8.307128906 7.290251e-24
-8.306884765 7.32363e-24
-8.306640625 7.351058e-24
-8.306396484 7.372614e-24
-8.306152343 7.388169e-24
-8.305908203 7.397811e-24
-8.305664062 7.401425e-24
-8.305419922 7.399101e-24
-8.305175781 7.390739e-24
-8.30493164 7.376438e-24
-8.3046875 7.356108e-24
-8.304443359 7.329855e-24
-8.304199218 7.297603e-24
-8.303955078 7.259463e-24
-8.303710937 7.215372e-24
-8.303466797 7.165449e-24
-8.303222656 7.109642e-24
-8.302978515 7.048077e-24
-8.302734375 6.980715e-24
-8.302490234 6.907688e-24
-8.302246093 6.828968e-24
-8.302001953 6.744695e-24
-8.301757812 6.654856e-24
-8.301513672 6.55959e-24
-8.301269531 6.4589e-24
-8.30102539 6.352932e-24
-8.30078125 6.2417e-24
-8.300537109 6.1253537e-24
-8.300292968 6.0039219e-24
-8.300048828 5.8775569e-24
-8.299804687 5.7462994e-24
-8.299560547 5.6103069e-24
-8.299316406 5.4696332e-24
-8.299072265 5.32443675e-24
-8.298828125 5.1747844e-24
-8.298583984 5.0208385e-24
-8.298339843 4.862677e-24
-8.298095703 4.7004638e-24
-8.297851562 4.5342904e-24
-8.297607422 4.3643206e-24
-8.297363281 4.190659e-24
-8.29711914 4.013469e-24
-8.296875 3.832868e-24
-8.296630859 3.649019e-24
-8.296386718 3.462051e-24
-8.296142578 3.272126e-24
-8.295898437 3.079385e-24
-8.295654297 2.883988e-24
-8.295410156 2.686086e-24
-8.295166015 2.48584e-24
-8.294921875 2.283409e-24
-8.294677734 2.078954e-24
-8.294433593 1.872641e-24
-8.294189453 1.664628e-24
-8.293945312 1.455094e-24
-8.293701172 1.244191e-24
-8.293457031 1.032108e-24
-8.29321289 8.18992e-25
-8.29296875 6.05042e-25
-8.292724609 3.90399e-25
-8.292480468 1.75268e-25
-8.292236328 -4.0211e-26
-8.291992187 -2.55828e-25
-8.291748047 -4.71448e-25
-8.291503906 -6.86854e-25
-8.291259765 -9.01917e-25
-8.291015625 -1.116417e-24
-8.290771484 -1.330228e-24
-8.290527343 -1.543125e-24
-8.290283203 -1.75499e-24
-8.290039062 -1.965593e-24
-8.289794922 -2.174824e-24
-8.289550781 -2.382451e-24
-8.28930664 -2.588366e-24
-8.2890625 -2.792337e-24
-8.288818359 -2.994266e-24
-8.288574218 -3.193917e-24
-8.288330078 -3.391201e-24
-8.288085937 -3.585879e-24
-8.287841797 -3.77787e-24
-8.287597656 -3.966937e-24
-8.287353515 -4.153006e-24
-8.287109375 -4.3358419e-24
-8.286865234 -4.5153779e-24
-8.286621093 -4.6913793e-24
-8.286376953 -4.8637899e-24
-8.286132812 -5.0323763e-24
-8.285888672 -5.1970923e-24
-8.285644531 -5.35770744e-24
-8.28540039 -5.51418263e-24
-8.28515625 -5.6662919e-24
-8.284912109 -5.8140065e-24
-8.284667968 -5.9571036e-24
-8.284423828 -6.095565e-24
-8.284179687 -6.2291726e-24
-8.283935547 -6.357917e-24
-8.283691406 -6.481586e-24
-8.283447265 -6.60018e-24
-8.283203125 -6.713493e-24
-8.282958984 -6.821536e-24
-8.282714843 -6.924109e-24
-8.282470703 -7.021233e-24
-8.282226562 -7.112716e-24
-8.281982422 -7.198589e-24
-8.281738281 -7.278667e-24
-8.28149414 -7.35299e-24
-8.28125 -7.421384e-24
-8.281005859 -7.483897e-24
-8.280761718 -7.540365e-24
-8.280517578 -7.590846e-24
-8.280273437 -7.635184e-24
-8.280029297 -7.673448e-24
-8.279785156 -7.705493e-24
-8.279541015 -7.731396e-24
-8.279296875 -7.751021e-24
-8.279052734 -7.764456e-24
-8.278808593 -7.771577e-24
-8.278564453 -7.772479e-24
-8.278320312 -7.767049e-24
-8.278076172 -7.755392e-24
-8.277832031 -7.737409e-24
-8.27758789 -7.713209e-24
-8.27734375 -7.682708e-24
-8.277099609 -7.646021e-24
-8.276855468 -7.603076e-24
-8.276611328 -7.553999e-24
-8.276367187 -7.498728e-24
-8.276123047 -7.437398e-24
-8.275878906 -7.369957e-24
-8.275634765 -7.296548e-24
-8.275390625 -7.217135e-24
-8.275146484 -7.131864e-24
-8.274902343 -7.040712e-24
-8.274658203 -6.943832e-24
-8.274414062 -6.841216e-24
-8.274169922 -6.733021e-24
-8.273925781 -6.61925e-24
-8.27368164 -6.500068e-24
-8.2734375 -6.3754907e-24
-8.273193359 -6.2456866e-24
-8.272949218 -6.1106871e-24
-8.272705078 -5.9706611e-24
-8.272460937 -5.8256548e-24
-8.272216797 -5.6758415e-24
-8.271972656 -5.52127887e-24
-8.271728515 -5.3621444e-24
-8.271484375 -5.198508e-24
-8.271240234 -5.0305484e-24
-8.270996093 -4.85835e-24
-8.270751953 -4.6820928e-24
-8.270507812 -4.5018724e-24
-8.270263672 -4.317872e-24
-8.270019531 -4.130198e-24
-8.26977539 -3.939033e-24
-8.26953125 -3.744497e-24
-8.269287109 -3.546773e-24
-8.269042968 -3.345992e-24
-8.268798828 -3.142335e-24
-8.268554687 -2.935944e-24
-8.268310547 -2.727002e-24
-8.268066406 -2.515658e-24
-8.267822265 -2.302094e-24
-8.267578125 -2.08647e-24
-8.267333984 -1.868967e-24
-8.267089843 -1.649753e-24
-8.266845703 -1.429003e-24
-8.266601562 -1.206899e-24
-8.266357422 -9.83612e-25
-8.266113281 -7.59329e-25
-8.26586914 -5.34221e-25
-8.265625 -3.0848e-25
-8.265380859 -8.2271e-26
-8.265136718 1.44201e-25
-8.264892578 3.7078e-25
-8.264648437 5.97256e-25
-8.264404297 8.23474e-25
-8.264160156 1.049221e-24
-8.263916015 1.274348e-24
-8.263671875 1.498636e-24
-8.263427734 1.721944e-24
-8.263183593 1.944047e-24
-8.262939453 2.164811e-24
-8.262695312 2.384009e-24
-8.262451172 2.601511e-24
-8.262207031 2.81709e-24
-8.26196289 3.030624e-24
-8.26171875 3.241881e-24
-8.261474609 3.45075e-24
-8.261230468 3.656995e-24
-8.260986328 3.860515e-24
-8.260742187 4.061075e-24
-8.260498047 4.258581e-24
-8.260253906 4.452797e-24
-8.260009765 4.6436386e-24
-8.259765625 4.8308723e-24
-8.259521484 5.0144233e-24
-8.259277343 5.1940573e-24
-8.259033203 5.3697099e-24
-8.258789062 5.5411509e-24
-8.258544922 5.70832553e-24
-8.258300781 5.8710042e-24
-8.25805664 6.0291439e-24
-8.2578125 6.1825206e-24
-8.257568359 6.3310991e-24
-8.257324218 6.4746604e-24
-8.257080078 6.6131805e-24
-8.256835937 6.746445e-24
-8.256591797 6.87444e-24
-8.256347656 6.996959e-24
-8.256103515 7.113998e-24
-8.255859375 7.225355e-24
-8.255615234 7.331039e-24
-8.255371093 7.430855e-24
-8.255126953 7.524821e-24
-8.254882812 7.612752e-24
-8.254638672 7.694676e-24
-8.254394531 7.770415e-24
-8.25415039 7.84001e-24
-8.25390625 7.903291e-24
-8.253662109 7.960308e-24
-8.253417968 8.010903e-24
-8.253173828 8.055135e-24
-8.252929687 8.092856e-24
-8.252685547 8.124138e-24
-8.252441406 8.14884e-24
-8.252197265 8.167044e-24
-8.251953125 8.178622e-24
